Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-08-13,4025.0,4184.96,3835.0,4080.0,57.891,233029.22749,4025.31010848
2017-08-12,3600.0,4049.99,3600.0,3890.0,45.4022,171099.365545,3768.52587639
2017-08-11,3385.0,3692.0,3385.0,3620.0,94.2659,332785.519453,3530.28528294
2017-08-10,3345.01,3470.0,3337.0,3442.9,40.7009,138241.567918,3396.52361294
2017-08-09,3417.0,3505.0,3242.0,3365.0,108.1564,367182.606553,3394.92259869
2017-08-08,3399.97,3498.5,3350.0,3420.0,111.3431,381639.838445,3427.60205567
2017-08-07,3233.0,3430.0,3225.09,3403.97,33.394,110766.001749,3316.94321582
2017-08-06,3230.01,3314.99,3161.0,3250.0,32.5557,105399.576088,3237.51527653
2017-08-05,2840.0,3310.0,2840.0,3300.0,68.0512,211180.17079,3103.25417906
2017-08-04,2799.0,2875.0,2760.07,2770.07,43.9111,124243.522512,2829.43316182
2017-08-03,2710.03,2799.97,2705.15,2735.01,32.9866,90121.846971,2732.07444753
2017-08-02,2760.0,2782.0,2700.0,2745.91,44.5113,120664.497045,2710.87335227
2017-08-01,2840.0,3048.0,2658.0,2809.99,85.6846,244586.844229,2854.50179179
2017-07-31,2768.0,2871.0,2715.0,2850.0,27.8458,76755.439361,2756.44583244
2017-07-30,2702.0,2790.0,2612.0,2763.53,82.8659,224386.67061,2707.82880063
2017-07-29,2780.91,2780.91,2670.0,2760.0,48.2738,131074.034968,2715.22098878
2017-07-28,2656.0,2800.0,2656.0,2799.99,80.4138,219169.081834,2725.51579249
2017-07-27,2537.0,2700.0,2537.0,2655.0,78.676,204975.974462,2605.31768852
2017-07-26,2592.9,2619.0,2465.0,2537.0,62.6134,160965.4265,2570.78239642
2017-07-25,2783.89,2783.9,2465.0,2465.0,85.5201,231418.858218,2706.01716109
2017-07-24,2800.0,2820.0,2705.0,2783.9,43.1374,119223.836843,2763.81601216
2017-07-23,2812.0,2900.0,2720.0,2750.0,86.1519,237928.897414,2761.73708779
2017-07-22,2650.81,2910.0,2650.81,2820.0,34.9066,97238.47299,2785.67586044
2017-07-21,2731.0,2849.99,2650.0,2798.91,84.1642,228012.746884,2709.14173584
2017-07-20,2291.57,2950.0,2291.57,2770.0,175.71,448716.809901,2553.7351881
2017-07-19,2280.09,2415.0,2232.11,2291.56,84.5028,196812.078606,2329.05984898
2017-07-18,2195.0,2418.0,2000.0,2320.0,114.1392,252232.923814,2209.87113817
2017-07-17,1950.0,2238.0,1942.09,2238.0,82.9176,169126.91537,2039.69863298
2017-07-16,2005.66,2065.49,1852.0,1950.0,43.3543,85375.01446,1969.23983227
2017-07-15,2259.0,2259.0,2005.02,2005.66,51.9842,108223.329793,2081.85044288
2017-07-14,2378.0,2378.0,2121.0,2259.0,88.2032,204273.775276,2315.94517292
2017-07-13,2447.99,2447.99,2325.1,2378.0,44.0712,105719.436445,2398.83271717
2017-07-12,2333.01,2445.0,2241.01,2380.0,68.5477,161307.432741,2353.21437103
2017-07-11,2320.01,2415.0,2300.0,2360.0,49.8089,117498.129607,2358.97860838
2017-07-10,2522.7,2571.02,2300.13,2300.13,50.4478,125825.64054,2494.17497968
2017-07-09,2560.01,2599.0,2511.0,2520.0,33.8479,86273.249362,2548.85086998
2017-07-08,2520.0,2580.0,2502.0,2580.0,36.4068,92266.739216,2534.32708219
2017-07-07,2628.0,2645.0,2519.0,2554.9,56.4282,144509.951072,2560.95269869
2017-07-06,2619.0,2649.88,2588.9,2607.0,19.4011,50610.901411,2608.66143729
2017-07-05,2659.0,2659.0,2565.0,2572.09,16.1928,42253.720836,2609.4141122
2017-07-04,2610.0,2677.0,2591.0,2601.0,27.0103,71280.36914,2639.00693957
2017-07-03,2529.0,2600.0,2486.0,2565.0,21.9513,56120.39529,2556.58641128
2017-07-02,2466.0,2524.0,2421.88,2519.0,6.0105,14994.81358,2494.7697496
2017-07-01,2550.0,2583.99,2500.0,2500.0,11.4442,28927.133376,2527.66758498
2017-06-30,2580.01,2611.99,2500.1,2500.1,12.1586,31228.879433,2568.46013793
2017-06-29,2639.0,2646.0,2551.02,2620.0,34.1621,89117.730187,2608.6724817
2017-06-28,2645.0,2648.99,2460.0,2646.0,175.886,449504.034091,2555.65556151
2017-06-27,2537.95,2639.0,2350.0,2639.0,77.1355,188799.805485,2447.63831809
2017-06-26,2600.0,2684.0,2350.02,2537.96,57.8594,147262.421676,2545.1771307
