RM,LSTAT
6.575,4.98
6.421,9.14
7.185,4.03
6.997999999999999,2.94
7.147,5.33
6.43,5.21
6.0120000000000005,12.43
6.172000000000001,19.15
5.631,29.93
6.004,17.1
6.377000000000001,20.45
6.0089999999999995,13.27
5.888999999999999,15.71
5.949,8.26
6.096,10.26
5.834,8.47
5.935,6.58
5.99,14.67
5.456,11.69
5.727,11.28
5.57,21.02
5.965,13.83
6.142,18.72
5.813,19.88
5.9239999999999995,16.3
5.599,16.51
5.813,14.81
6.047000000000001,17.28
6.495,12.8
6.6739999999999995,11.98
5.712999999999999,22.6
6.072,13.04
5.95,27.71
5.7010000000000005,18.35
6.096,20.34
5.933,9.68
5.841,11.41
5.85,8.77
5.966,10.13
6.595,4.32
7.024,1.98
6.77,4.84
6.169,5.81
6.211,7.44
6.069,9.55
5.682,10.21
5.7860000000000005,14.15
6.03,18.8
5.399,30.81
5.602,16.2
5.962999999999999,13.45
6.115,9.43
6.511,5.28
5.997999999999999,8.43
5.888,14.8
7.249,4.81
6.382999999999999,5.77
6.816,3.95
6.145,6.86
5.9270000000000005,9.22
5.7410000000000005,13.15
5.966,14.44
6.456,6.73
6.7620000000000005,9.5
7.104,8.05
6.29,4.67
5.787000000000001,10.24
5.877999999999999,8.1
5.593999999999999,13.09
5.885,8.79
6.417000000000001,6.72
5.961,9.88
6.065,5.52
6.245,7.54
6.273,6.78
6.2860000000000005,8.94
6.279,11.97
6.14,10.27
6.232,12.34
5.874,9.1
6.727,5.29
6.619,7.22
6.3020000000000005,6.72
6.167000000000001,7.51
6.388999999999999,9.62
6.63,6.53
6.015,12.86
6.121,8.44
7.007000000000001,5.5
7.079,5.7
6.417000000000001,8.81
6.405,8.2
6.442,8.16
6.211,6.21
6.249,10.59
6.625,6.65
6.162999999999999,11.34
8.068999999999999,4.21
7.82,3.57
7.416,6.19
6.727,9.42
6.781000000000001,7.67
6.405,10.63
6.1370000000000005,13.44
6.167000000000001,12.33
5.851,16.47
5.836,18.66
6.127000000000001,14.09
6.474,12.27
6.229,15.55
6.195,13.0
6.715,10.16
5.912999999999999,16.21
6.0920000000000005,17.09
6.254,10.45
5.928,15.76
6.176,12.04
6.021,10.3
5.872000000000001,15.37
5.731,13.61
5.87,14.37
6.004,14.27
5.961,17.93
5.856,25.41
5.879,17.58
5.986000000000001,14.81
5.6129999999999995,27.26
5.693,17.19
6.431,15.39
5.6370000000000005,18.34
6.457999999999999,12.6
6.3260000000000005,12.26
6.372000000000001,11.12
5.822,15.03
5.757000000000001,17.31
6.335,16.96
5.942,16.9
6.454,14.59
5.857,21.32
6.151,18.46
6.1739999999999995,24.16
5.019,34.41
5.403,26.82
5.468,26.42
4.9030000000000005,29.29
6.13,27.8
5.627999999999999,16.65
4.926,29.53
5.186,28.32
5.597,21.45
6.122000000000001,14.1
5.404,13.28
5.012,12.12
5.709,15.79
6.129,15.12
6.152,15.02
5.272,16.14
6.943,4.59
6.066,6.43
6.51,7.39
6.25,5.5
7.489,1.73
7.8020000000000005,1.92
8.375,3.32
5.854,11.64
6.101,9.81
7.928999999999999,3.7
5.877000000000001,12.14
6.319,11.1
6.402,11.32
5.875,14.43
5.88,12.03
5.572,14.69
6.416,9.04
5.859,9.64
6.546,5.33
6.02,10.11
6.315,6.29
6.86,6.92
6.98,5.04
7.765,7.56
6.144,9.45
7.155,4.82
6.563,5.68
5.604,13.98
6.153,13.15
7.831,4.45
6.782,6.68
6.556,4.56
7.185,5.39
6.9510000000000005,5.1
6.739,4.69
7.178,2.87
6.8,5.03
6.604,4.38
7.875,2.97
7.287000000000001,4.08
7.107,8.61
7.274,6.62
6.975,4.56
7.135,4.45
6.162000000000001,7.43
7.61,3.11
7.853,3.81
8.033999999999999,2.88
5.891,10.87
6.3260000000000005,10.97
5.7829999999999995,18.06
6.064,14.66
5.343999999999999,23.09
5.96,17.27
5.404,23.98
5.807,16.03
6.375,9.38
5.412000000000001,29.55
6.182,9.47
5.888,13.51
6.642,9.69
5.9510000000000005,17.92
6.372999999999999,10.5
6.9510000000000005,9.71
6.164,21.46
6.879,9.93
6.617999999999999,7.6
8.266,4.14
