WS_HR,O3,PM10,PM25-3,PM25-2,PM25,ANS
2.3,38,30,29,27,28,33
1.5,41,150,59,61,61,60
1.4,58,48,36,25,22,16
2.4,46,54,43,34,29,33
0.9,32,9,13,9,12,5
1.9,44,40,13,24,29,41
0.9,23,79,51,41,41,46
1.2,24,33,29,17,18,25
1,34,127,60,49,49,38
0.8,49,52,16,22,35,26
0.9,28,69,32,40,40,31
2,64,68,55,60,62,59
2.4,46,42,62,54,41,41
0.9,35,34,18,24,35,45
2.1,45,50,47,34,28,23
1.3,33,18,16,13,12,18
2.7,59,73,70,71,58,51
1.3,37,50,23,19,20,30
3.6,42,6,13,16,16,19
3.7,34,22,13,13,18,20
1.8,31,35,7,15,14,16
3.4,60,72,25,29,25,31
1.5,56,67,28,34,38,44
1.7,39,10,20,13,7,4
0.5,19,120,49,55,62,63
1.7,30,65,31,36,48,48
2,40,22,19,30,29,26
0.4,18,23,14,9,9,1
2.1,60,75,25,31,29,21
2,22,57,16,31,36,48
1.3,16,17,4,6,16,31
1.5,27,20,6,12,11,15
1.1,25,37,20,16,15,21
1.2,35,11,7,4,4,4
1.5,17,31,28,20,18,14
2.9,55,92,63,54,45,39
1.1,42,24,34,27,23,15
0.4,37,49,41,37,32,28
1.6,35,55,3,3,5,12
2.4,50,113,39,57,63,54
1.4,54,70,42,41,47,47
4.5,31,61,39,37,18,20
2,42,108,43,46,52,59
1.7,14,46,23,27,17,17
1.9,61,70,27,27,47,54
0.5,38,85,68,62,56,51
1.9,12,97,68,73,68,62
4.6,25,88,41,45,39,37
1.3,24,75,37,39,53,54
1.8,45,28,15,32,42,42
1.5,13,53,46,40,32,39
1.9,4.6,34,19,26,21,29
0.8,54,71,47,54,50,43
1.9,3.6,42,26,21,29,21
0.4,20,75,36,37,39,30
2.7,34,90,49,41,43,43
2,16,49,28,23,27,17
1.9,17,57,20,18,20,19
1.6,44,63,54,50,43,39
2.5,55,75,56,43,35,27
0.7,35,15,2,6,12,10
0.7,74,67,62,47,28,25
3.2,37,62,30,30,31,27
0.5,19,88,33,36,54,66
1.9,13,85,40,42,52,52
0.4,12,58,29,25,29,24
0.5,45,50,38,41,42,49
0.8,11,84,62,63,58,54
0.4,13,48,26,24,29,25
1.2,46,52,43,51,41,39
0.4,15,86,58,69,66,68
0.5,45,106,66,64,57,43
0.5,57,65,25,34,43,51
1.6,60,29,9,12,11,12
0.5,12,25,15,10,12,13
0.6,49,64,38,32,36,25
0.3,7.7,117,54,57,63,66
0.9,15,0,16,8,4,4
