id,O3,PM10,PM25-3,PM25-2,PM25,WS_HR,ANS
id_0,21,11,25,20,19,0.5,30
id_1,29,38,20,19,30,0.3,41
id_2,44,56,19,30,41,0.8,44
id_3,58,64,30,41,44,1.2,33
id_4,50,56,41,44,33,2,37
id_5,57,57,44,33,37,2.6,36
id_6,65,52,33,37,36,2.1,45
id_7,64,51,37,36,45,2.1,42
id_8,51,66,36,45,42,1.9,49
id_9,34,85,45,42,49,1,45
id_10,33,85,42,49,45,2.5,44
id_11,34,63,49,45,44,2.5,41
id_12,37,46,45,44,41,2.8,30
id_13,38,36,44,41,30,2.6,24
id_14,38,42,41,30,24,2.4,13
id_15,36,42,30,24,13,2.3,21
id_16,39,49,24,13,21,2.5,23
id_17,38,34,13,21,23,2.4,30
id_18,39,31,21,23,30,2.8,30
id_19,39,16,23,30,30,2.7,22
id_20,34,18,30,30,22,2,18
id_21,31,8,30,22,18,0.5,13
id_22,30,16,22,18,13,0.8,13
id_23,18,24,18,13,13,1.5,11
id_24,17,37,13,13,11,0.7,22
id_25,24,58,13,11,22,0.2,25
id_26,46,51,11,22,25,0.7,34
id_27,45,63,22,25,34,1.2,38
id_28,46,60,25,34,38,2.6,50
id_29,58,75,34,38,50,2.2,53
id_30,62,71,38,50,53,1.6,43
id_31,58,66,50,53,43,2.2,43
id_32,55,69,53,43,43,0.5,45
id_33,33,65,43,43,45,1.6,46
id_34,40,61,43,45,46,2,32
id_35,38,64,45,46,32,2.3,16
id_36,32,62,46,32,16,1.7,19
id_37,20,57,32,16,19,0.6,22
id_38,25,49,16,19,22,1.8,26
id_39,35,42,19,22,26,2.2,19
id_40,34,38,22,26,19,1.7,25
id_41,28,27,26,19,25,1.2,27
id_42,30,31,19,25,27,1.2,20
id_43,33,33,25,27,20,1.2,16
id_44,30,30,27,20,16,1.2,14
id_45,34,19,20,16,14,2,15
id_46,33,12,16,14,15,1.3,8
id_47,15,10,14,15,8,1,4
id_48,5.2,12,15,8,4,0.4,9
id_49,8.7,15,8,4,9,0.4,16
id_50,25,36,4,9,16,0.9,22
id_51,43,43,9,16,22,1.9,23
id_52,56,43,16,22,23,2.4,29
id_53,57,33,22,23,29,1.7,32
id_54,50,41,23,29,32,2.1,36
id_55,45,56,29,32,36,2,34
id_56,30,68,32,36,34,1.4,45
id_57,26,73,36,34,45,0.6,40
id_58,19,72,34,45,40,1.3,41
id_59,10,70,45,40,41,0.7,23
id_60,20,61,40,41,23,1.2,29
id_61,37,53,41,23,29,2.5,23
id_62,29,50,23,29,23,0.4,37
id_63,22,52,29,23,37,0.5,27
id_64,20,49,23,37,27,0.6,27
id_65,15,41,37,27,27,0.7,14
id_66,17,40,27,27,14,0.5,20
id_67,22,37,27,14,20,0.8,22
id_68,26,37,14,20,22,0.5,24
id_69,26,40,20,22,24,0.5,26
id_70,33,52,22,24,26,0.9,33
id_71,40,53,24,26,33,0.6,48
id_72,41,55,26,33,48,1.1,50
id_73,47,53,33,48,50,2.3,49
id_74,49,73,48,50,49,2,45
id_75,54,85,50,49,45,0.8,63
id_76,58,105,49,45,63,0.1,63
id_77,62,107,45,63,63,0.4,62
id_78,60,118,63,63,62,0,55
id_79,56,115,63,62,55,0.8,56
id_80,52,124,62,55,56,0.4,67
id_81,46,128,55,56,67,1.1,78
id_82,45,134,56,67,78,1.4,83
id_83,34,143,67,78,83,0.7,90
id_84,45,140,78,83,90,1.8,75
id_85,38,133,83,90,75,1.2,85
id_86,32,121,90,75,85,0.9,82
id_87,29,100,75,85,82,0.7,80
id_88,30,91,85,82,80,0.5,80
id_89,33,82,82,80,80,1,76
id_90,38,84,80,80,76,0.3,81
id_91,39,83,80,76,81,0.5,75
id_92,40,85,76,81,75,0.5,66
id_93,40,96,81,75,66,0.4,70
id_94,43,105,75,66,70,1.6,65
id_95,43,98,66,70,65,1.2,66
id_96,32,83,70,65,66,0.7,57
id_97,35,65,65,66,57,0.5,56
id_98,45,68,66,57,56,0.9,64
id_99,55,70,57,56,64,1.3,67
id_100,55,82,56,64,67,1.6,72
id_101,66,87,64,67,72,0.8,64
id_102,72,101,67,72,64,1.7,73
id_103,72,107,72,64,73,1,57
id_104,68,111,64,73,57,0.8,57
id_105,54,110,73,57,57,0.7,53
id_106,56,115,57,57,53,2.1,70
id_107,56,109,57,53,70,2.1,70
id_108,50,97,53,70,70,1.5,60
id_109,42,87,70,70,60,1.8,68
id_110,41,75,70,60,68,1.8,66
id_111,43,70,60,68,66,2.2,66
id_112,47,56,68,66,66,2.2,55
id_113,48,67,66,66,55,1.6,46
id_114,39,62,66,55,46,1.5,46
id_115,43,64,55,46,46,1.7,46
id_116,43,48,46,46,46,1.6,42
id_117,45,52,46,46,42,1.6,35
id_118,31,38,46,42,35,1.3,35
id_119,31,37,42,35,35,2.2,40
id_120,9.4,45,35,35,40,0.4,45
id_121,5.7,70,35,40,45,0.4,48
id_122,22,81,40,45,48,0.4,57
id_123,22,97,45,48,57,1,57
id_124,12,97,48,57,57,0.5,59
id_125,54,93,57,57,59,1.3,62
id_126,35,110,57,59,62,2,59
id_127,33,101,59,62,59,1.4,61
id_128,30,101,62,59,61,0.7,50
id_129,12,90,59,61,50,0.6,60
id_130,3.5,85,61,50,60,0.5,62
id_131,14,88,50,60,62,1,62
id_132,13,75,60,62,62,0.9,50
id_133,23,75,62,62,50,2,45
id_134,28,64,62,50,45,2.1,43
id_135,28,68,50,45,43,1.9,41
id_136,32,45,45,43,41,2.1,32
id_137,33,32,43,41,32,1.9,35
id_138,35,25,41,32,35,2.4,31
id_139,35,31,32,35,31,2.5,33
id_140,33,45,35,31,33,2.1,25
id_141,31,43,31,33,25,1.8,36
id_142,27,44,33,25,36,1.9,28
id_143,21,34,25,36,28,1.6,33
id_144,18,40,36,28,33,1,29
id_145,30,39,28,33,29,0.4,42
id_146,51,54,33,29,42,1.2,56
id_147,71,63,29,42,56,1.1,66
id_148,86,85,42,56,66,1.3,78
id_149,87,91,56,66,78,2.2,62
id_150,55,99,66,78,62,2.7,61
id_151,42,100,78,62,61,1.6,47
id_152,46,103,62,61,47,0.4,54
id_153,29,107,61,47,54,1.8,57
id_154,45,108,47,54,57,1.5,59
id_155,53,106,54,57,59,1,61
id_156,42,93,57,59,61,2.2,43
id_157,43,87,59,61,43,2.3,39
id_158,41,75,61,43,39,2.6,38
id_159,36,73,43,39,38,1.5,48
id_160,43,73,39,38,48,1.8,53
id_161,53,73,38,48,53,2.2,60
id_162,58,80,48,53,60,2.1,60
id_163,53,82,53,60,60,1.9,52
id_164,51,85,60,60,52,1.7,47
id_165,39,68,60,52,47,1,45
id_166,28,48,52,47,45,0.8,50
id_167,23,38,47,45,50,1.3,43
id_168,11,49,45,50,43,0.4,40
id_169,43,61,50,43,40,0.7,42
id_170,58,68,43,40,42,0.5,41
id_171,57,60,40,42,41,1.4,39
id_172,54,55,42,41,39,1.4,36
id_173,51,50,41,39,36,1.8,35
id_174,56,61,39,36,35,2.7,36
id_175,45,73,36,35,36,1.7,36
id_176,49,72,35,36,36,1.2,32
id_177,46,62,36,36,32,1.2,33
id_178,46,54,36,32,33,2.3,33
id_179,35,54,32,33,33,1,34
id_180,33,52,33,33,34,1,21
id_181,32,39,33,34,21,1.3,15
id_182,31,32,34,21,15,0.7,13
id_183,29,20,21,15,13,3.2,18
id_184,28,17,15,13,18,3.6,15
id_185,28,17,13,18,15,3,9
id_186,29,12,18,15,9,1.7,9
id_187,32,10,15,9,9,3.2,14
id_188,33,16,9,9,14,1.8,15
id_189,35,28,9,14,15,1.4,20
id_190,34,29,14,15,20,1.8,16
id_191,33,27,15,20,16,2.5,23
id_192,34,21,20,16,23,3.6,16
id_193,31,31,16,23,16,1.4,17
id_194,31,20,23,16,17,0,9
id_195,32,22,16,17,9,2,7
id_196,34,20,17,9,7,2.2,7
id_197,34,0,9,7,7,2.2,20
id_198,34,0,7,7,20,0.3,20
id_199,32,18,7,20,20,1.3,20
id_200,29,18,20,20,20,1.5,18
id_201,26,19,20,20,18,0.9,18
id_202,28,19,20,18,18,1.2,22
id_203,27,23,18,18,22,1.5,15
id_204,30,17,18,22,15,2.4,11
id_205,30,12,22,15,11,1.8,1
id_206,30,2,15,11,1,1.9,1
id_207,29,2,11,1,1,1.6,6
id_208,27,5,1,1,6,1.4,7
id_209,29,9,1,6,7,1.6,7
id_210,27,9,6,7,7,0.9,0
id_211,27,3,7,7,0,1.6,0
id_212,28,4,7,0,0,2,1
id_213,25,4,0,0,1,0.7,1
id_214,19,5,0,1,1,1,7
id_215,13,1,1,1,7,0.3,7
id_216,14,6,1,7,7,0.8,8
id_217,22,10,7,7,8,0.7,4
id_218,30,25,7,8,4,1.5,8
id_219,38,39,8,4,8,2.4,12
id_220,46,42,4,8,12,2,19
id_221,50,46,8,12,19,2.6,23
id_222,52,40,12,19,23,2.2,20
id_223,50,37,19,23,20,1.6,18
id_224,39,39,23,20,18,0.9,15
id_225,27,34,20,18,15,0.4,16
id_226,12,41,18,15,16,0.8,10
id_227,17,23,15,16,10,1.6,6
id_228,20,27,16,10,6,1.8,11
id_229,19,19,10,6,11,1.8,22
id_230,21,30,6,11,22,1.9,28
id_231,21,30,11,22,28,1.7,25
id_232,19,32,22,28,25,1.3,21
id_233,22,34,28,25,21,1.8,25
id_234,24,30,25,21,25,1.6,24
id_235,24,43,21,25,24,1.9,23
id_236,22,37,25,24,23,2,18
id_237,21,40,24,23,18,1.9,20
id_238,16,23,23,18,20,2,14
id_239,16,14,18,20,14,1.7,7
id_240,6.3,18,20,14,7,0.4,17
id_241,22,27,14,7,17,0.5,31
id_242,47,53,7,17,31,1.3,44
id_243,50,60,17,31,44,1.7,43
id_244,65,74,31,44,43,2.6,46
id_245,49,65,44,43,46,3.1,36
id_246,42,72,43,46,36,2.3,36
id_247,32,66,46,36,36,2.4,29
id_248,36,70,36,36,29,2.1,32
id_249,37,66,36,29,32,0.4,33
id_250,24,69,29,32,33,0.7,30
id_251,24,69,32,33,30,1.3,40
id_252,16,58,33,30,40,0.7,36
id_253,8.6,44,30,40,36,1,46
id_254,3.9,48,40,36,46,1.4,41
id_255,19,67,36,46,41,1.3,48
id_256,29,87,46,41,48,1.6,56
id_257,34,102,41,48,56,1,62
id_258,36,108,48,56,62,1,52
id_259,29,102,56,62,52,0.4,40
id_260,30,78,62,52,40,1.7,32
id_261,37,56,52,40,32,2.2,37
id_262,26,45,40,32,37,0.5,31
id_263,10,38,32,37,31,0.9,34
id_264,12,31,37,31,34,0.6,32
id_265,33,40,31,34,32,1.6,33
id_266,33,58,34,32,33,1,31
id_267,37,63,32,33,31,0.7,21
id_268,38,53,33,31,21,1.5,20
id_269,43,36,31,21,20,1.2,19
id_270,43,35,21,20,19,0.5,24
id_271,43,32,20,19,24,0.7,25
id_272,35,41,19,24,25,1,14
id_273,30,32,24,25,14,0.7,16
id_274,29,34,25,14,16,0.1,22
id_275,32,30,14,16,22,0.5,23
id_276,32,34,16,22,23,0.3,18
id_277,32,31,22,23,18,1,6
id_278,31,18,23,18,6,0.8,9
id_279,31,19,18,6,9,1.2,10
id_280,31,13,6,9,10,0.3,10
id_281,31,17,9,10,10,0.2,10
id_282,32,20,10,10,10,0.7,13
id_283,32,34,10,10,13,0.6,18
id_284,33,38,10,13,18,0.4,16
id_285,32,33,13,18,16,1,7
id_286,30,25,18,16,7,0.4,5
id_287,28,25,16,7,5,0.5,2
id_288,30,26,7,5,2,1.1,11
id_289,32,25,5,2,11,0.3,8
id_290,33,30,2,11,8,0.7,21
id_291,35,25,11,8,21,0.7,17
id_292,40,33,8,21,17,0.7,23
id_293,41,35,21,17,23,0.4,18
id_294,39,53,17,23,18,1,29
id_295,38,56,23,18,29,1.5,38
id_296,36,61,18,29,38,0.7,43
id_297,32,61,29,38,43,0.2,44
id_298,30,55,38,43,44,0.5,48
id_299,30,47,43,44,48,0.7,47
id_300,29,42,44,48,47,1,36
id_301,32,34,48,47,36,1.1,25
id_302,28,34,47,36,25,0.8,23
id_303,31,38,36,25,23,1.2,29
id_304,26,41,25,23,29,0.8,23
id_305,30,39,23,29,23,1,21
id_306,29,26,29,23,21,1.1,21
id_307,29,25,23,21,21,0.5,30
id_308,32,36,21,21,30,1.4,26
id_309,35,37,21,30,26,0.6,26
id_310,37,40,30,26,26,1.4,26
id_311,37,36,26,26,26,3.4,23
id_312,37,38,26,26,23,3.9,16
id_313,35,43,26,23,16,1.6,4
id_314,37,36,23,16,4,3.8,6
id_315,36,34,16,4,6,0.2,6
id_316,37,32,4,6,6,0.7,8
