WARPTOTAL,TOTALLENGTH,THEORYLENGTH,DENIM,FIBERBASE,UNITWEIGHT,GRANULARITY,WARPLENGTH,WARPSPEED,WARPPRES,SSTENSION,WARPTENSION,TRACFORCE,OILWAXSPEED,REEDSLIGHT,ROLLQUANTITY,PRESROLLER,HYDRATENSION,GROUPTYPE,OTHER
21120.0,8480,9000,20,21120,0.02,1320,8480,80,0.5,3,5,0,0,2,1,0.5,6.0,1,1.0
21120.0,5360,4500,20,21120,0.01,1320,5360,150,2.0,3,0,0,0,2,1,2.0,6.0,1,1.0
13200.0,22370,4500,20,13200,0.01,1320,22370,60,0.5,3,5,0,0,2,1,0.5,6.0,1,1.0
13199.0,2400,4500,20,13199,0.01,1320,2400,150,2.0,3,0,0,0,2,1,2.0,0.0,1,1.0
13200.0,60000,58500,20,13200,0.13,1320,60000,60,1.0,3,5,0,0,2,1,1.0,6.0,1,1.0
13200.0,5300,4500,20,13200,0.01,1320,5300,60,1.0,3,5,0,0,2,1,1.0,6.0,1,1.0
9044.0,4800,1188,320,1392,0.04,348,0,300,3.0,14,16,0,0,2,0,3.0,12.0,2,2.0
13050.0,71500,71849,119,13049,0.95,1305,7150,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,71500,71849,119,13049,0.95,1305,7150,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,71500,71849,119,13049,0.95,1305,7150,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,91440,91525,118,13049,1.2,1087,7620,250,4.0,7,7,0,0,2,12,4.0,8.0,1,1.0
13050.0,91440,91525,118,13049,1.2,1087,7620,250,4.0,7,7,0,0,2,12,4.0,8.0,1,1.0
13050.0,30000,30000,117,13049,0.39,1305,3000,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,69200,69231,117,13049,0.9,1305,6920,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,73000,36154,117,13049,0.47,1305,7300,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,60000,60000,117,13049,0.78,1087,5000,250,4.0,7,7,0,0,2,12,4.0,8.0,1,1.0
13050.0,59950,60000,117,13049,0.78,1186,5450,250,4.0,7,7,0,0,2,11,4.0,8.0,1,1.0
13050.0,60000,60000,117,13049,0.78,1087,5000,250,4.0,7,7,0,0,2,12,4.0,8.0,1,1.0
14740.0,65040,68067,119,14739,0.9,1228,5420,250,4.0,7,8,0,0,2,12,4.0,8.0,1,1.0
14740.0,61200,68067,119,14739,0.9,1228,5100,250,4.0,7,8,0,0,2,12,4.0,8.0,1,1.0
14740.0,32550,68067,119,14739,0.9,1228,5425,250,4.0,7,8,0,0,2,6,4.0,8.0,1,1.0
14740.0,32550,68067,119,14739,0.9,1228,5425,250,4.0,7,8,0,0,2,6,4.0,8.0,1,1.0
14740.0,65160,68067,119,14739,0.9,1228,10860,250,4.0,7,8,0,0,2,6,4.0,8.0,1,1.0
14740.0,65160,68067,119,14739,0.9,1228,10860,250,4.0,7,8,0,0,2,6,4.0,8.0,1,1.0
16630.0,80100,83333,108,16629,1.0,1386,6675,250,4.0,7,7,0,0,2,12,4.0,8.0,1,1.0
13050.0,75600,78261,115,13049,1.0,1305,7560,250,4.0,7,7,0,0,2,10,4.0,8.0,1,1.0
13050.0,75600,78261,115,13049,1.0,1305,15120,250,4.0,7,7,0,0,2,5,4.0,8.0,1,1.0
13050.0,75600,78261,115,13049,1.0,1305,15120,250,4.0,7,7,0,0,2,5,4.0,8.0,1,1.0
13050.0,75400,78261,115,13049,1.0,1305,15080,250,4.0,7,7,0,0,2,5,4.0,8.0,1,1.0
13050.0,75400,78261,115,13049,1.0,1305,15080,250,4.0,7,7,0,0,2,5,4.0,8.0,1,1.0
7696.0,230880,336742,89,7696,3.33,1099,20989,160,3.0,6,12,0,0,2,11,3.0,12.0,1,1.0
7696.0,134680,336742,89,7696,3.33,1099,19240,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,244020,366067,89,7696,3.62,1283,20335,160,3.0,6,12,0,0,2,12,3.0,12.0,1,1.0
7696.0,121990,366067,89,7696,3.62,1283,17427,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,170000,334719,89,7696,3.31,770,17000,160,3.0,6,12,0,0,2,10,3.0,12.0,1,1.0
7696.0,170000,334719,89,7696,3.31,770,17000,160,3.0,6,12,0,0,2,10,3.0,12.0,1,1.0
7696.0,30000,35393,89,7696,0.35,770,30000,160,3.0,6,12,0,0,2,1,3.0,12.0,1,1.0
7696.0,199390,342809,89,7696,3.39,1099,24924,160,3.0,6,12,0,0,2,8,3.0,12.0,1,1.0
7696.0,170905,342809,89,7696,3.39,1099,24415,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,211610,214382,89,7696,2.12,1099,30230,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,246960,370112,89,7696,3.66,1283,20580,160,3.0,6,12,0,0,2,12,3.0,12.0,1,1.0
7696.0,123550,370112,89,7696,3.66,1283,17650,160,3.0,6,12,0,0,2,7,3.0,12.0,1,1.0
7696.0,370540,370112,89,7696,3.66,1283,28503,160,3.0,6,12,0,0,2,13,3.0,12.0,1,1.0
7696.0,263900,263933,89,7696,2.61,1099,18850,160,3.0,6,12,0,0,2,14,3.0,12.0,1,1.0
7696.0,158715,155730,89,7696,1.54,1099,19839,160,3.0,6,12,0,0,2,8,3.0,12.0,1,1.0
7696.0,86100,85955,89,7696,0.85,1099,21525,160,3.0,6,12,0,0,2,4,3.0,12.0,1,1.0
7696.0,99000,99000,90,7696,0.99,1283,16500,160,3.0,6,12,0,0,2,6,3.0,12.0,1,1.0
7696.0,119600,72000,90,7696,0.72,770,23920,160,3.0,6,12,0,0,2,5,3.0,12.0,1,1.0
7696.0,348840,124000,90,7696,1.24,855,38760,160,3.0,6,12,0,0,2,9,3.0,12.0,1,1.0
7696.0,209300,72000,90,7696,0.72,770,20930,160,3.0,6,12,0,0,2,10,3.0,12.0,1,1.0
7696.0,183600,367000,90,7696,3.67,962,20400,160,3.0,6,12,0,0,2,9,3.0,12.0,1,1.0
7696.0,183600,367000,90,7696,3.67,962,22950,160,3.0,6,12,0,0,2,8,3.0,12.0,1,1.0
5493.0,172000,172222,81,5493,1.55,687,43000,180,3.0,6,6,0,0,2,4,3.0,6.0,1,1.0
5493.0,126700,13333,81,5493,0.12,785,31675,180,3.0,6,6,0,0,2,4,3.0,6.0,1,1.0
5493.0,216995,220000,81,5493,1.98,785,27124,180,3.0,6,6,0,0,2,8,3.0,6.0,1,1.0
5493.0,3500,220000,81,5493,1.98,785,3500,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,98000,13333,81,5493,0.12,785,32667,180,3.0,6,6,0,0,2,3,3.0,6.0,1,1.0
5493.0,3500,13333,81,5493,0.12,785,3500,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,74400,21111,81,5493,0.19,687,37200,180,3.0,6,6,0,0,2,2,3.0,6.0,1,1.0
5493.0,4000,21111,81,5493,0.19,687,4000,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,98000,146667,81,5493,1.32,785,32667,180,3.0,6,6,0,0,2,3,3.0,6.0,1,1.0
5640.0,36300,36667,81,5640,0.33,940,36300,200,3.0,6,6,0,80,2,1,3.0,6.0,1,1.0
5493.0,35400,35556,81,5493,0.32,916,35400,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5640.0,51200,44444,81,5640,0.4,705,12800,200,3.0,6,6,0,80,2,4,3.0,6.0,1,1.0
5493.0,129000,128889,81,5493,1.16,916,43000,180,3.0,6,6,0,0,2,3,3.0,6.0,1,1.0
5493.0,2400,106667,81,5493,1.16,916,2400,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,3000,35556,81,5493,0.32,687,3000,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5493.0,126000,106667,81,5493,1.16,916,21000,180,3.0,6,6,0,0,2,6,3.0,6.0,1,1.0
5493.0,151200,151111,81,5493,1.36,785,37800,180,3.0,6,6,0,0,2,4,3.0,6.0,1,1.0
5776.0,2400,2222,81,5776,0.02,722,2400,200,3.0,6,6,0,80,2,1,3.0,6.0,1,1.0
7200.0,2000,1111,81,7200,0.01,720,2000,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
6092.0,2800,2222,81,6092,0.02,762,2800,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5712.0,3520,3333,81,5712,0.03,714,3520,180,3.0,6,6,0,0,2,1,3.0,6.0,1,1.0
5640.0,3600,3333,81,5640,0.03,940,3600,200,3.0,6,6,0,80,2,1,3.0,6.0,1,1.0
5493.0,60000,60000,81,5493,0.54,916,30000,180,3.0,6,6,0,0,2,2,3.0,6.0,1,1.0
5640.0,38400,38889,81,5640,0.35,940,19200,200,3.0,6,6,0,80,2,2,3.0,6.0,1,1.0
6092.0,2000,2222,81,6092,0.02,762,2000,200,3.0,6,6,0,80,2,1,3.0,6.0,1,1.0
5493.0,379800,254444,81,5493,2.29,916,37980,180,3.0,6,6,0,0,2,10,3.0,6.0,1,1.0
5640.0,27000,26667,81,5640,0.24,940,27000,160,3.0,6,6,0,80,2,1,3.0,6.0,1,1.0
4360.0,210000,210000,81,4360,1.89,727,42000,180,3.0,6,6,0,0,2,5,3.0,6.0,1,1.0
4360.0,258000,257778,81,4360,2.32,727,64500,100,4.0,6,6,0,80,2,4,4.0,6.0,1,1.0
5493.0,379800,380000,81,5493,3.42,916,37980,180,3.0,6,6,0,0,2,10,3.0,6.0,1,1.0
5640.0,234780,84444,81,5640,0.76,806,33540,100,4.0,6,6,0,80,2,7,4.0,6.0,1,1.0
5640.0,146720,84444,81,5640,0.76,806,29344,100,4.0,6,6,0,80,2,5,4.0,6.0,1,1.0
10800.0,20400,20204,49,10800,0.11,1350,20400,300,2.0,5,5,0,0,2,1,2.0,5.0,1,1.0
10800.0,121500,121224,49,10800,0.66,1200,40500,300,2.0,5,5,0,0,2,3,2.0,5.0,1,1.0
10800.0,1980,3673,49,10800,0.02,1200,1980,300,2.0,5,5,0,0,2,1,2.0,5.0,1,1.0
12000.0,79800,43200,50,12000,0.24,1000,39900,400,2.0,5,5,0,0,2,2,2.0,5.0,1,1.0
12000.0,136800,136800,50,12000,0.76,1000,45600,400,2.0,5,5,0,0,2,3,2.0,5.0,1,1.0
12000.0,62400,63000,50,12000,0.35,1000,31200,400,2.0,5,5,0,0,2,2,2.0,5.0,1,1.0
14070.0,36300,36250,72,14070,0.29,1279,36300,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,118800,118750,72,14070,0.95,1279,39600,400,3.0,6,6,0,0,2,3,3.0,6.0,2,1.0
14070.0,33000,32500,72,14070,0.26,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,28600,28750,72,14070,0.23,1279,28600,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,17600,17500,72,14070,0.14,1279,17600,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,22000,22500,72,14070,0.18,1279,22000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,71500,50000,72,14070,0.4,1279,35750,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,117150,117500,72,14070,0.94,1279,39050,400,3.0,6,6,0,0,2,3,3.0,6.0,2,1.0
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,33550,33288,73,14070,0.27,1279,33550,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,60500,60411,73,14070,0.49,1279,30250,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,189800,189863,73,14070,1.54,1082,37960,400,3.0,6,6,0,0,2,5,3.0,6.0,2,1.0
14070.0,46200,46849,73,14070,0.38,1279,46200,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,33000,33288,73,14070,0.27,1279,33000,400,3.0,6,6,0,0,2,1,3.0,6.0,2,1.0
14070.0,99000,98630,73,14070,0.8,1279,33000,400,3.0,6,6,0,0,2,3,3.0,6.0,2,1.0
14070.0,58300,57945,73,14070,0.47,1279,29150,400,3.0,6,6,0,0,2,2,3.0,6.0,2,1.0
14070.0,114400,114658,73,14070,0.93,1279,28600,400,3.0,6,6,0,0,2,4,3.0,6.0,2,1.0
14070.0,269500,270000,73,14070,2.19,1279,24500,400,3.0,6,6,0,0,2,11,3.0,6.0,2,1.0
